condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,1,dmb_sy,after_group,1,1000000,1000000,3824016,1199488,3.824,1.199,3.8240,PASS
hit,1,dmb_sy,after_group,2,1000000,1000000,4009793,1259296,4.010,1.259,4.0098,PASS
hit,1,dmb_sy,after_group,3,1000000,1000000,3838859,1207040,3.839,1.207,3.8389,PASS
hit,1,dmb_sy,after_group,4,1000000,1000000,4020771,1261632,4.021,1.262,4.0208,PASS
hit,1,dmb_sy,after_group,5,1000000,1000000,3845198,1205664,3.845,1.206,3.8452,PASS
hit,1,dmb_sy,after_group,6,1000000,1000000,3769710,1182624,3.770,1.183,3.7697,PASS
hit,1,dmb_sy,after_group,7,1000000,1000000,3766997,1181376,3.767,1.181,3.7670,PASS
hit,1,dmb_sy,after_group,8,1000000,1000000,3956236,1242048,3.956,1.242,3.9562,PASS
hit,1,dmb_sy,after_group,9,1000000,1000000,3865969,1212032,3.866,1.212,3.8660,PASS
hit,1,stlr,after_every,0,1000000,1000000,3770901,1189632,3.771,1.190,3.7709,PASS
hit,1,stlr,after_every,1,1000000,1000000,3802185,1231072,3.802,1.231,3.8022,PASS
hit,1,stlr,after_every,2,1000000,1000000,3742337,1174240,3.742,1.174,3.7423,PASS
hit,1,stlr,after_every,3,1000000,1000000,3818616,1197888,3.819,1.198,3.8186,PASS
hit,1,stlr,after_every,4,1000000,1000000,3899598,1224864,3.900,1.225,3.8996,PASS
hit,1,stlr,after_every,5,1000000,1000000,3793695,1190336,3.794,1.190,3.7937,PASS
hit,1,stlr,after_every,6,1000000,1000000,3889930,1222400,3.890,1.222,3.8899,PASS
hit,1,stlr,after_every,7,1000000,1000000,3760230,1179040,3.760,1.179,3.7602,PASS
hit,1,stlr,after_every,8,1000000,1000000,3842666,1205184,3.843,1.205,3.8427,PASS
hit,1,stlr,after_every,9,1000000,1000000,3749945,1176800,3.750,1.177,3.7499,PASS
