condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,2,dmb_ish,after_group,8,1000000,2000000,5246647,1641248,5.247,1.641,2.6233,PASS
hit,2,dmb_ish,after_group,9,1000000,2000000,5292213,1655872,5.292,1.656,2.6461,PASS
hit,2,dmb_ishld,after_every,0,1000000,2000000,5192615,1632928,5.193,1.633,2.5963,PASS
hit,2,dmb_ishld,after_every,1,1000000,2000000,5370697,1682976,5.371,1.683,2.6853,PASS
hit,2,dmb_ishld,after_every,2,1000000,2000000,5138986,1619136,5.139,1.619,2.5695,PASS
hit,2,dmb_ishld,after_every,3,1000000,2000000,5160019,1614976,5.160,1.615,2.5800,PASS
hit,2,dmb_ishld,after_every,4,1000000,2000000,5138747,1608320,5.139,1.608,2.5694,PASS
hit,2,dmb_ishld,after_every,5,1000000,2000000,5265144,1645120,5.265,1.645,2.6326,PASS
hit,2,dmb_ishld,after_every,6,1000000,2000000,5149288,1610400,5.149,1.610,2.5746,PASS
hit,2,dmb_ishld,after_every,7,1000000,2000000,5161965,1615392,5.162,1.615,2.5810,PASS
hit,2,dmb_ishld,after_every,8,1000000,2000000,5182510,1621504,5.183,1.622,2.5913,PASS
hit,2,dmb_ishld,after_every,9,1000000,2000000,5177862,1619520,5.178,1.620,2.5889,PASS
hit,2,dmb_ishld,after_group,0,1000000,2000000,5585069,1756384,5.585,1.756,2.7925,PASS
hit,2,dmb_ishld,after_group,1,1000000,2000000,5200531,1627552,5.201,1.628,2.6003,PASS
hit,2,dmb_ishld,after_group,2,1000000,2000000,5251535,1643104,5.252,1.643,2.6258,PASS
hit,2,dmb_ishld,after_group,3,1000000,2000000,5225402,1634400,5.225,1.634,2.6127,PASS
hit,2,dmb_ishld,after_group,4,1000000,2000000,5515825,1726048,5.516,1.726,2.7579,PASS
hit,2,dmb_ishld,after_group,5,1000000,2000000,5217720,1631904,5.218,1.632,2.6089,PASS
hit,2,dmb_ishld,after_group,6,1000000,2000000,5387871,1683456,5.388,1.683,2.6939,PASS
hit,2,dmb_ishld,after_group,7,1000000,2000000,5277604,1650400,5.278,1.650,2.6388,PASS
hit,2,dmb_ishld,after_group,8,1000000,2000000,5430320,1698560,5.430,1.699,2.7152,PASS
hit,2,dmb_ishld,after_group,9,1000000,2000000,5379262,1683200,5.379,1.683,2.6896,PASS
hit,2,dmb_ld,after_every,0,1000000,2000000,5582556,1777920,5.583,1.778,2.7913,PASS
hit,2,dmb_ld,after_every,1,1000000,2000000,5244973,1641472,5.245,1.641,2.6225,PASS
hit,2,dmb_ld,after_every,2,1000000,2000000,5331109,1671136,5.331,1.671,2.6656,PASS
hit,2,dmb_ld,after_every,3,1000000,2000000,5540553,1734016,5.541,1.734,2.7703,PASS
hit,2,dmb_ld,after_every,4,1000000,2000000,5249462,1643072,5.249,1.643,2.6247,PASS
hit,2,dmb_ld,after_every,5,1000000,2000000,5295184,1656064,5.295,1.656,2.6476,PASS
hit,2,dmb_ld,after_every,6,1000000,2000000,5255880,1644320,5.256,1.644,2.6279,PASS
hit,2,dmb_ld,after_every,7,1000000,2000000,5202801,1627712,5.203,1.628,2.6014,PASS
hit,2,dmb_ld,after_every,8,1000000,2000000,5411138,1690208,5.411,1.690,2.7056,PASS
hit,2,dmb_ld,after_every,9,1000000,2000000,5254047,1641728,5.254,1.642,2.6270,PASS
hit,2,dmb_ld,after_group,0,1000000,2000000,5406097,1699904,5.406,1.700,2.7030,PASS
hit,2,dmb_ld,after_group,1,1000000,2000000,5555069,1737856,5.555,1.738,2.7775,PASS
hit,2,dmb_ld,after_group,2,1000000,2000000,5184962,1633088,5.185,1.633,2.5925,PASS
hit,2,dmb_ld,after_group,3,1000000,2000000,5148337,1608992,5.148,1.609,2.5742,PASS
hit,2,dmb_ld,after_group,4,1000000,2000000,5412588,1693536,5.413,1.694,2.7063,PASS
hit,2,dmb_ld,after_group,5,1000000,2000000,5229749,1636768,5.230,1.637,2.6149,PASS
hit,2,dmb_ld,after_group,6,1000000,2000000,5142180,1606880,5.142,1.607,2.5711,PASS
hit,2,dmb_ld,after_group,7,1000000,2000000,5381338,1683168,5.381,1.683,2.6907,PASS
hit,2,dmb_ld,after_group,8,1000000,2000000,5453048,1704384,5.453,1.704,2.7265,PASS
hit,2,dmb_ld,after_group,9,1000000,2000000,5351921,1672672,5.352,1.673,2.6760,PASS
hit,2,dmb_sy,after_every,0,1000000,2000000,5205901,1638080,5.206,1.638,2.6030,PASS
hit,2,dmb_sy,after_every,1,1000000,2000000,5195027,1625664,5.195,1.626,2.5975,PASS
hit,2,dmb_sy,after_every,2,1000000,2000000,5194958,1639840,5.195,1.640,2.5975,PASS
hit,2,dmb_sy,after_every,3,1000000,2000000,5430921,1697760,5.431,1.698,2.7155,PASS
hit,2,dmb_sy,after_every,4,1000000,2000000,5221552,1632768,5.222,1.633,2.6108,PASS
hit,2,dmb_sy,after_every,5,1000000,2000000,5410502,1692832,5.411,1.693,2.7053,PASS
hit,2,dmb_sy,after_every,6,1000000,2000000,5191439,1622560,5.191,1.623,2.5957,PASS
hit,2,dmb_sy,after_every,7,1000000,2000000,5200146,1625312,5.200,1.625,2.6001,PASS
hit,2,dmb_sy,after_every,8,1000000,2000000,5181768,1622176,5.182,1.622,2.5909,PASS
hit,2,dmb_sy,after_every,9,1000000,2000000,5306119,1659520,5.306,1.660,2.6531,PASS
hit,2,dmb_sy,after_group,0,1000000,2000000,5236966,1643968,5.237,1.644,2.6185,PASS
hit,2,dmb_sy,after_group,1,1000000,2000000,5325014,1665088,5.325,1.665,2.6625,PASS
hit,2,dmb_sy,after_group,2,1000000,2000000,5263336,1646368,5.263,1.646,2.6317,PASS
hit,2,dmb_sy,after_group,3,1000000,2000000,5222541,1632128,5.223,1.632,2.6113,PASS
hit,2,dmb_sy,after_group,4,1000000,2000000,5224832,1634208,5.225,1.634,2.6124,PASS
hit,2,dmb_sy,after_group,5,1000000,2000000,5211542,1629440,5.212,1.629,2.6058,PASS
hit,2,dmb_sy,after_group,6,1000000,2000000,5243760,1640704,5.244,1.641,2.6219,PASS
hit,2,dmb_sy,after_group,7,1000000,2000000,5451464,1704768,5.451,1.705,2.7257,PASS
hit,2,dmb_sy,after_group,8,1000000,2000000,5575985,1742784,5.576,1.743,2.7880,PASS
hit,2,dmb_sy,after_group,9,1000000,2000000,5369799,1677664,5.370,1.678,2.6849,PASS
hit,2,ldapr,after_every,0,1000000,2000000,5707721,1823488,5.708,1.823,2.8539,PASS
hit,2,ldapr,after_every,1,1000000,2000000,5700592,1782080,5.701,1.782,2.8503,PASS
hit,2,ldapr,after_every,2,1000000,2000000,5709942,1784736,5.710,1.785,2.8550,PASS
hit,2,ldapr,after_every,3,1000000,2000000,5718463,1786272,5.718,1.786,2.8592,PASS
hit,2,ldapr,after_every,4,1000000,2000000,5742231,1800032,5.742,1.800,2.8711,PASS
hit,2,ldapr,after_every,5,1000000,2000000,5759447,1801088,5.759,1.801,2.8797,PASS
hit,2,ldapr,after_every,6,1000000,2000000,5723650,1789120,5.724,1.789,2.8618,PASS
hit,2,ldapr,after_every,7,1000000,2000000,5753768,1803072,5.754,1.803,2.8769,PASS
hit,2,ldapr,after_every,8,1000000,2000000,5695010,1782272,5.695,1.782,2.8475,PASS
hit,2,ldapr,after_every,9,1000000,2000000,5726631,1790336,5.727,1.790,2.8633,PASS
hit,2,ldapr,after_group,0,1000000,2000000,5797376,1821440,5.797,1.821,2.8987,PASS
hit,2,ldapr,after_group,1,1000000,2000000,5802699,1815552,5.803,1.816,2.9013,PASS
hit,2,ldapr,after_group,2,1000000,2000000,5821375,1829024,5.821,1.829,2.9107,PASS
hit,2,ldapr,after_group,3,1000000,2000000,5780002,1807200,5.780,1.807,2.8900,PASS
hit,2,ldapr,after_group,4,1000000,2000000,5806523,1813440,5.807,1.813,2.9033,PASS
hit,2,ldapr,after_group,5,1000000,2000000,5831363,1822912,5.831,1.823,2.9157,PASS
hit,2,ldapr,after_group,6,1000000,2000000,5800813,1814176,5.801,1.814,2.9004,PASS
hit,2,ldapr,after_group,7,1000000,2000000,5837940,1822880,5.838,1.823,2.9190,PASS
